customer_id,total_orders,total_spend,avg_basket_size,avg_order_value,last_purchase_date,returning_customer
CUST_00001,3,2199.63,2.3333333333333335,733.21,2023-12-05,True
CUST_00002,2,809.9000000000001,4.0,404.95000000000005,2023-06-16,True
CUST_00003,2,3030.81,3.5,1515.405,2024-01-03,True
CUST_00004,1,383.22,5.0,383.22,2024-02-13,False
CUST_00005,3,2422.73,2.6666666666666665,807.5766666666667,2023-06-21,True
CUST_00006,3,1245.83,3.0,415.27666666666664,2023-08-27,True
CUST_00007,1,1331.55,5.0,1331.55,2024-01-05,True
CUST_00008,3,5602.29,2.0,1867.43,2023-10-09,True
CUST_00009,1,470.86,2.0,470.86,2024-02-16,False
CUST_00010,3,1421.16,3.3333333333333335,473.72,2024-03-04,True
CUST_00011,7,6328.45,3.7142857142857144,904.0642857142857,2024-03-14,True
CUST_00012,1,794.4,3.0,794.4,2024-02-02,False
CUST_00013,2,667.97,1.0,333.985,2024-02-25,True
CUST_00014,3,550.5600000000001,2.3333333333333335,183.52,2023-10-08,True
CUST_00015,4,17407.51,2.5,4351.8775,2023-10-15,True
CUST_00016,10,7775.48,2.9,777.548,2024-02-02,True
CUST_00017,1,903.51,3.0,903.51,2023-09-27,True
CUST_00018,4,3145.06,4.25,786.265,2024-03-18,True
CUST_00019,1,673.1,2.0,673.1,2024-02-28,True
CUST_00020,2,2577.16,2.5,1288.58,2024-02-05,True
CUST_00021,3,5200.38,4.333333333333333,1733.46,2024-03-18,True
CUST_00022,4,933.56,3.25,233.39,2024-01-21,True
CUST_00023,1,105.55,1.0,105.55,2023-12-14,True
CUST_00024,2,333.99,3.5,166.995,2023-04-17,True
CUST_00025,2,1061.66,1.5,530.83,2023-07-02,True
CUST_00026,2,790.61,2.5,395.305,2023-06-24,True
CUST_00027,4,2577.6099999999997,3.0,644.4024999999999,2024-02-25,True
CUST_00028,2,865.42,3.5,432.71,2023-11-19,True
CUST_00029,8,15296.52,2.625,1912.065,2024-03-25,True
CUST_00030,7,19332.920000000002,3.142857142857143,2761.8457142857146,2024-02-08,True
